2,263.96,1845493440,6.9915647825
3,406.53,2516581440,6.1903953952
4,555,3187670080,5.7435496937
5,713.69,3858758400,5.406771007
6,868.59,4529845440,5.2151710704
7,1027.17,5200930560,5.0633590934
8,1188.11,5872021440,4.9423213676
9,1353.94,6543109440,4.8326435736
10,1526.81,7214188800,4.7250075648
11,1709.02,7885274880,4.6139160923
12,1885.75,8556359040,4.5373771921
13,2073.15,9227461440,4.4509376746
14,2263.34,9898533120,4.3734185407
15,2459.34,10569613440,4.2977438825
16,2660.36,11240725440,4.2252647912
17,2864.27,11911813440,4.1587606755
18,3069.35,12582866240,4.0995214752
19,3278.42,13253963520,4.0427899781
20,3474.06,13925062080,4.0082963679
